global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated
29,29,legacy_list,manual,0.018,0.05,0.018,0.05,-0.05975448712706566,0.012617972679436207,False,False,0.012617972679436207,-0.03751615807414055,-0.05975448712706566,-0.049978576600551605,-0.03737673908472061,-0.014289072714745998,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
30,30,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08117987215518951,0.0,False,False,-0.005862779449671507,-0.02556542679667473,-0.08117987215518951,-0.0379495695233345,-0.055711548775434494,-0.04012507200241089,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
31,31,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08515268564224243,0.014063047245144844,False,False,0.013252927921712399,-0.04106263443827629,-0.08515268564224243,0.014063047245144844,-0.030710475519299507,-0.018176278099417686,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
32,32,legacy_list,manual,0.018,0.05,0.018,0.05,-0.09662989526987076,0.10381072759628296,False,False,0.004972849041223526,0.03254910558462143,-0.09662989526987076,0.10381072759628296,-0.003522898769006133,-0.0036697559989988804,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
33,33,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0991266667842865,0.05091993138194084,False,False,-0.029699672013521194,-0.019191041588783264,-0.0991266667842865,0.05091993138194084,0.03605196624994278,-0.01151611004024744,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
34,34,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1040010005235672,0.10386117547750473,False,False,0.007923278957605362,-0.02019769698381424,-0.1040010005235672,0.10386117547750473,0.008436623029410839,0.011785049922764301,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
35,35,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1287766695022583,0.034366674721241,False,False,0.005208783783018589,-0.04761086776852608,-0.1287766695022583,0.034366674721241,0.02033243700861931,-0.01309597585350275,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
36,36,legacy_list,manual,0.018,0.05,0.018,0.05,-0.10149677842855453,0.07502158731222153,False,False,0.005143384449183941,-0.0064008766785264015,-0.10149677842855453,0.07502158731222153,0.02601439319550991,-0.01240417081862688,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
37,37,legacy_list,manual,0.018,0.05,0.018,0.05,-0.11017836630344391,0.11880255490541458,False,False,0.0062361364252865314,-0.03480745851993561,-0.11017836630344391,0.11880255490541458,0.041340090334415436,-0.022575899958610535,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
38,38,legacy_list,manual,0.018,0.05,0.018,0.05,-0.11876226216554642,0.17005765438079834,False,False,0.02295192889869213,-0.015243888832628727,-0.11876226216554642,0.17005765438079834,0.016015706583857536,-0.00015259995416272432,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
39,39,legacy_list,manual,0.018,0.05,0.018,0.05,-0.12644049525260925,0.07463834434747696,False,False,0.03090832009911537,-0.050081148743629456,-0.12644049525260925,0.07463834434747696,0.0011348567204549909,0.013493604026734829,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
40,40,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08413857966661453,0.03093249537050724,False,False,0.018306076526641846,-0.03585219383239746,-0.08413857966661453,0.03093249537050724,0.005524386186152697,0.007796884514391422,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
41,41,legacy_list,manual,0.018,0.05,0.018,0.05,-0.19706207513809204,0.07869137823581696,False,False,0.07869137823581696,-0.10910630971193314,-0.19706207513809204,-0.027711717411875725,-0.015780560672283173,0.0004026442766189575,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
42,42,legacy_list,manual,0.018,0.05,0.018,0.05,-0.14269684255123138,0.06580021977424622,False,False,0.06580021977424622,-0.10230806469917297,-0.14269684255123138,-0.035445019602775574,-0.018555445596575737,-0.013113418594002724,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
43,43,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1469925045967102,0.025217732414603233,False,False,0.025217732414603233,-0.07600254565477371,-0.1469925045967102,-0.06516696512699127,0.0034273953642696142,-0.023710543289780617,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
